[ |2021-10-07 07:03:06.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:03:06.000000| ][modelRankingUsuarios::GetJornada] Ocurrio un error[] 
[ |2021-10-07 07:03:35.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:03:35.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:03:35.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:04:00.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:04:00.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:04:00.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:04:01.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:04:23.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:04:23.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:04:23.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:04:23.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:04:41.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetGeneral] 
[ |2021-10-07 07:04:41.000000| ][modelRankingUsuarios::GetGeneral] General
[ |2021-10-07 07:04:41.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetGeneral();]
[ |2021-10-07 07:04:41.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:13:42.000000| ][] [GetJornada] 
[ |2021-10-07 07:13:42.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:13:42.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:13:42.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:14:08.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:14:08.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:14:08.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:14:08.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:15:13.000000| ][] [GetJornada] 
[ |2021-10-07 07:15:13.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:15:13.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:15:13.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:15:35.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:15:35.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:15:35.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:15:36.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:23:18.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:23:18.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:23:18.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:23:18.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:25:08.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:25:08.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:25:08.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:25:09.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:25:14.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:25:14.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:25:14.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:25:14.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:26:09.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:26:09.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:26:09.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:26:10.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:26:16.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:26:16.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:26:16.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:26:16.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:26:28.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:26:28.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:26:28.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:26:28.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:26:58.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
